ticker,company,industry,form,score,recommended
OSIS,OSI SYSTEMS INC,Semiconductors & Related Devices,4,3,False
,4 - EDRICK ALAN I,,4,3,False
OSIS,OSI SYSTEMS INC,Semiconductors & Related Devices,4,3,False
,4 - CHOPRA DEEPAK,,4,3,False
OSIS,OSI SYSTEMS INC,Semiconductors & Related Devices,4,3,False
,4 - MEHRA AJAY,,4,3,False
OSIS,OSI SYSTEMS INC,Semiconductors & Related Devices,4,3,False
,4 - BRILON ROBERT J,,4,3,False
BESS,Bimergen Energy Corp,Electric Services,4,3,False
,3/A - Skaggs Bernard,,3/A,2,False
PMI,"Picard Medical, Inc.",Surgical & Medical Instruments & Apparatus,3/A,2,False
,3/A - Schuster Matt,,3/A,2,False
PMI,"Picard Medical, Inc.",Surgical & Medical Instruments & Apparatus,3/A,2,False
PMI,"Picard Medical, Inc.",Surgical & Medical Instruments & Apparatus,3/A,2,False
,3/A - SCHNEGELSBERG PATRICK NJ,,3/A,2,False
,"3 - Apollo S3 RIC Management, L.P.",,3,2,False
,3 - Fortress Private Lending Fund,,3,2,False
,3 - APO Corp.,,3,2,False
,"3 - Apollo Principal Holdings B GP, LLC",,3,2,False
,"3 - Apollo Principal Holdings B, L.P.",,3,2,False
,"3 - Apollo Capital Management, L.P.",,3,2,False
,"3 - Apollo Capital Management GP, LLC",,3,2,False
,"3 - Apollo Management Holdings, L.P.",,3,2,False
,"3 - Apollo Management Holdings GP, LLC",,3,2,False
,"4 - Decheng Capital Global Healthcare GP, LLC",,4,3,False
,4 - Decheng Capital Global Healthcare Fund,,4,3,False
,4 - Decheng Capital Management III,,4,3,False
,"4 - Decheng Capital China Life Sciences USD Fund III, L.P.",,4,3,False
BYSI,BeyondSpring Inc.,Pharmaceutical Preparations,4,3,False
,"4 - Decheng Capital China Life Sciences USD Fund II, L.P.",,4,3,False
,4 - Cui Xiangmin,,4,3,False
,4 - Schwab Charles R.,,4,3,False
,4 - LANGER JACK,,4,3,False
TMCWW,TMC the metals Co Inc.,Metal Mining,8-K12B,5,True
,4 - Moak Donald Lee,,4,3,False
WSUPW,Wheels Up Experience Inc.,"Air Transportation, Nonscheduled",4,3,False
,4 - RESSLER ANTONY P,,4,3,False
WSUPW,Wheels Up Experience Inc.,"Air Transportation, Nonscheduled",4,3,False
,4 - Lauria Kristen,,4,3,False
,4 - Kedzior Brian Joseph,,4,3,False
WSUPW,Wheels Up Experience Inc.,"Air Transportation, Nonscheduled",4,3,False
,4 - O'Brien Brandon,,4,3,False
,4 - Holtz David L,,4,3,False
WSUPW,Wheels Up Experience Inc.,"Air Transportation, Nonscheduled",4,3,False
,4 - Godsman David,,4,3,False
WSUPW,Wheels Up Experience Inc.,"Air Transportation, Nonscheduled",4,3,False
,4 - Gibson Christopher,,4,3,False
RXRX,"RECURSION PHARMACEUTICALS, INC.","Biological Products, (No Diagnostic Substances)",4,3,False
,4 - Briffa Mark,,4,3,False
WSUPW,Wheels Up Experience Inc.,"Air Transportation, Nonscheduled",4,3,False
,4 - O'Sullivan Anthony,,4,3,False
